,PopulationSize,ChromosomeLength,ElitismFactor,Iteration,GeneticIterations
552,2,13,15,2,2604
553,2,13,15,3,6382
554,2,13,15,4,9871
555,2,13,15,5,1917
556,2,13,15,6,9113
557,2,13,15,7,2790
558,2,13,15,8,11452
559,2,13,15,9,5854
560,2,13,16,0,16451
561,2,13,16,1,10630
562,2,13,16,2,3164
563,2,13,16,3,6449
564,2,13,16,4,12755
565,2,13,16,5,2579
566,2,13,16,6,8335
567,2,13,16,7,25193
568,2,13,16,8,463
569,2,13,16,9,2808
570,2,13,17,0,5142
571,2,13,17,1,848
572,2,13,17,2,3888
573,2,13,17,3,2373
574,2,13,17,4,33
575,2,13,17,5,29993
576,2,13,17,6,5904
577,2,13,17,7,19067
578,2,13,17,8,42236
579,2,13,17,9,18452
580,2,13,18,0,6908
581,2,13,18,1,2870
582,2,13,18,2,10729
583,2,13,18,3,5607
584,2,13,18,4,2364
585,2,13,18,5,929
586,2,13,18,6,9528
587,2,13,18,7,27576
588,2,13,18,8,7460
589,2,13,18,9,357
590,2,13,19,0,10477
591,2,13,19,1,25215
592,2,13,19,2,4519
593,2,13,19,3,14784
594,2,13,19,4,27785
595,2,13,19,5,5514
596,2,13,19,6,14319
597,2,13,19,7,878
598,2,13,19,8,1838
599,2,13,19,9,7477
600,3,8,10,0,557
601,3,8,10,1,193
602,3,8,10,2,177
603,3,8,10,3,167
604,3,8,10,4,73
605,3,8,10,5,361
606,3,8,10,6,307
607,3,8,10,7,151
608,3,8,10,8,406
609,3,8,10,9,46
610,3,8,11,0,172
611,3,8,11,1,314
612,3,8,11,2,4
613,3,8,11,3,182
614,3,8,11,4,88
615,3,8,11,5,282
616,3,8,11,6,154
617,3,8,11,7,71
618,3,8,11,8,704
619,3,8,11,9,764
620,3,8,12,0,146
621,3,8,12,1,199
622,3,8,12,2,338
623,3,8,12,3,27
624,3,8,12,4,193
625,3,8,12,5,76
626,3,8,12,6,43
627,3,8,12,7,714
628,3,8,12,8,25
629,3,8,12,9,381
630,3,8,13,0,190
631,3,8,13,1,309
632,3,8,13,2,93
633,3,8,13,3,406
634,3,8,13,4,147
635,3,8,13,5,332
636,3,8,13,6,558
637,3,8,13,7,3
638,3,8,13,8,175
639,3,8,13,9,80
640,3,8,14,0,584
641,3,8,14,1,310
642,3,8,14,2,79
643,3,8,14,3,184
644,3,8,14,4,336
645,3,8,14,5,982
646,3,8,14,6,17
647,3,8,14,7,573
648,3,8,14,8,127
649,3,8,14,9,306
650,3,8,15,0,1073
651,3,8,15,1,145
652,3,8,15,2,817
653,3,8,15,3,622
654,3,8,15,4,732
655,3,8,15,5,32
656,3,8,15,6,72
657,3,8,15,7,13
658,3,8,15,8,1424
659,3,8,15,9,146
660,3,8,16,0,333
661,3,8,16,1,101
662,3,8,16,2,2
663,3,8,16,3,392
664,3,8,16,4,181
665,3,8,16,5,203
666,3,8,16,6,553
667,3,8,16,7,109
668,3,8,16,8,444
669,3,8,16,9,14
670,3,8,17,0,64
671,3,8,17,1,317
672,3,8,17,2,27
673,3,8,17,3,100
674,3,8,17,4,279
675,3,8,17,5,79
676,3,8,17,6,11
677,3,8,17,7,291
678,3,8,17,8,137
679,3,8,17,9,446
680,3,8,18,0,136
681,3,8,18,1,50
682,3,8,18,2,182
683,3,8,18,3,153
684,3,8,18,4,403
685,3,8,18,5,237
686,3,8,18,6,348
687,3,8,18,7,102
688,3,8,18,8,195
689,3,8,18,9,269
690,3,8,19,0,128
691,3,8,19,1,272
692,3,8,19,2,209
693,3,8,19,3,20
694,3,8,19,4,365
695,3,8,19,5,287
696,3,8,19,6,106
697,3,8,19,7,304
698,3,8,19,8,86
699,3,8,19,9,410
700,3,9,10,0,211
701,3,9,10,1,583
702,3,9,10,2,149
703,3,9,10,3,179
704,3,9,10,4,1004
705,3,9,10,5,395
706,3,9,10,6,619
707,3,9,10,7,113
708,3,9,10,8,367
709,3,9,10,9,1203
710,3,9,11,0,6
711,3,9,11,1,171
712,3,9,11,2,408
713,3,9,11,3,1141
714,3,9,11,4,157
715,3,9,11,5,570
716,3,9,11,6,727
717,3,9,11,7,3
718,3,9,11,8,93
719,3,9,11,9,10
720,3,9,12,0,24
721,3,9,12,1,449
722,3,9,12,2,66
723,3,9,12,3,368
724,3,9,12,4,327
725,3,9,12,5,9
726,3,9,12,6,36
727,3,9,12,7,387
728,3,9,12,8,408
729,3,9,12,9,864
730,3,9,13,0,108
731,3,9,13,1,1053
732,3,9,13,2,1368
733,3,9,13,3,1127
734,3,9,13,4,302
735,3,9,13,5,527
736,3,9,13,6,180
737,3,9,13,7,641
738,3,9,13,8,684
739,3,9,13,9,690
740,3,9,14,0,451
741,3,9,14,1,22
742,3,9,14,2,150
743,3,9,14,3,271
744,3,9,14,4,2146
745,3,9,14,5,595
746,3,9,14,6,64
747,3,9,14,7,439
748,3,9,14,8,359
749,3,9,14,9,248
750,3,9,15,0,33
751,3,9,15,1,748
752,3,9,15,2,879
753,3,9,15,3,801
754,3,9,15,4,1650
755,3,9,15,5,541
756,3,9,15,6,83
757,3,9,15,7,655
758,3,9,15,8,826
759,3,9,15,9,153
760,3,9,16,0,713
761,3,9,16,1,963
762,3,9,16,2,24
763,3,9,16,3,514
764,3,9,16,4,868
765,3,9,16,5,190
766,3,9,16,6,912
767,3,9,16,7,373
768,3,9,16,8,565
769,3,9,16,9,2288
770,3,9,17,0,181
771,3,9,17,1,974
772,3,9,17,2,303
773,3,9,17,3,818
774,3,9,17,4,1739
775,3,9,17,5,327
776,3,9,17,6,188
777,3,9,17,7,528
778,3,9,17,8,55
779,3,9,17,9,385
780,3,9,18,0,1188
781,3,9,18,1,307
782,3,9,18,2,621
783,3,9,18,3,885
784,3,9,18,4,1110
785,3,9,18,5,318
786,3,9,18,6,905
787,3,9,18,7,2062
788,3,9,18,8,1689
789,3,9,18,9,509
790,3,9,19,0,101
791,3,9,19,1,60
792,3,9,19,2,1688
793,3,9,19,3,37
794,3,9,19,4,353
795,3,9,19,5,578
796,3,9,19,6,644
797,3,9,19,7,486
798,3,9,19,8,146
799,3,9,19,9,139
800,3,10,10,0,2670
801,3,10,10,1,900
802,3,10,10,2,1415
803,3,10,10,3,1812
804,3,10,10,4,45
805,3,10,10,5,222
806,3,10,10,6,2297
807,3,10,10,7,86
808,3,10,10,8,599
809,3,10,10,9,550
810,3,10,11,0,537
811,3,10,11,1,389
812,3,10,11,2,1646
813,3,10,11,3,269
814,3,10,11,4,6
815,3,10,11,5,3156
816,3,10,11,6,44
817,3,10,11,7,2794
818,3,10,11,8,48
819,3,10,11,9,813
820,3,10,12,0,479
821,3,10,12,1,766
822,3,10,12,2,759
823,3,10,12,3,37
824,3,10,12,4,682
825,3,10,12,5,248
826,3,10,12,6,142
827,3,10,12,7,88
828,3,10,12,8,473
829,3,10,12,9,147
830,3,10,13,0,1260
831,3,10,13,1,152
832,3,10,13,2,1221
833,3,10,13,3,2553
834,3,10,13,4,693
835,3,10,13,5,191
836,3,10,13,6,33
837,3,10,13,7,817
838,3,10,13,8,240
839,3,10,13,9,273
840,3,10,14,0,337
841,3,10,14,1,1159
842,3,10,14,2,208
843,3,10,14,3,621
844,3,10,14,4,89
845,3,10,14,5,663
846,3,10,14,6,1035
847,3,10,14,7,173
848,3,10,14,8,811
849,3,10,14,9,99
850,3,10,15,0,141
851,3,10,15,1,282
852,3,10,15,2,469
853,3,10,15,3,24
854,3,10,15,4,1033
855,3,10,15,5,159
856,3,10,15,6,675
857,3,10,15,7,1521
858,3,10,15,8,17
859,3,10,15,9,1175
860,3,10,16,0,1269
861,3,10,16,1,11
862,3,10,16,2,973
863,3,10,16,3,417
864,3,10,16,4,917
865,3,10,16,5,3131
866,3,10,16,6,425
867,3,10,16,7,146
868,3,10,16,8,2287
869,3,10,16,9,713
870,3,10,17,0,322
871,3,10,17,1,1466
872,3,10,17,2,971
873,3,10,17,3,565
874,3,10,17,4,950
875,3,10,17,5,872
876,3,10,17,6,644
877,3,10,17,7,367
878,3,10,17,8,655
879,3,10,17,9,582
880,3,10,18,0,516
881,3,10,18,1,1261
882,3,10,18,2,1564
883,3,10,18,3,800
